Date,Country,State,City,Pure Gold,Standard Gold
01-02-2006,India,Maharashtra,Nagpur,768,711
01-03-2006,India,Maharashtra,Nagpur,770.5,713
01-04-2006,India,Maharashtra,Nagpur,784.5,726
01-05-2006,India,Maharashtra,Nagpur,782.5,725
01-06-2006,India,Maharashtra,Nagpur,776,719
01-07-2006,India,Maharashtra,Nagpur,787.5,729
01-09-2006,India,Maharashtra,Nagpur,790,732
01-10-2006,India,Maharashtra,Nagpur,791,732
01-11-2006,India,Maharashtra,Nagpur,788,730
01-12-2006,India,Maharashtra,Nagpur,789,731
1/13/2006,India,Maharashtra,Nagpur,790,732
1/16/2006,India,Maharashtra,Nagpur,802,743
1/17/2006,India,Maharashtra,Nagpur,812,752
1/18/2006,India,Maharashtra,Nagpur,799,740
1/19/2006,India,Maharashtra,Nagpur,803,744
1/20/2006,India,Maharashtra,Nagpur,810,750
1/21/2006,India,Maharashtra,Nagpur,808.5,749
1/23/2006,India,Maharashtra,Nagpur,808.5,749
1/24/2006,India,Maharashtra,Nagpur,809.5,750
1/25/2006,India,Maharashtra,Nagpur,812,752
1/27/2006,India,Maharashtra,Nagpur,814,754
1/28/2006,India,Maharashtra,Nagpur,813.5,753
1/30/2006,India,Maharashtra,Nagpur,815,755
1/31/2006,India,Maharashtra,Nagpur,821.5,761
02-01-2006,India,Maharashtra,Nagpur,819,758
02-02-2006,India,Maharashtra,Nagpur,824.5,763
02-03-2006,India,Maharashtra,Nagpur,829.5,768
02-04-2006,India,Maharashtra,Nagpur,828.5,767
02-06-2006,India,Maharashtra,Nagpur,830,769
02-07-2006,India,Maharashtra,Nagpur,830,769
02-08-2006,India,Maharashtra,Nagpur,803,744
02-09-2006,India,Maharashtra,Nagpur,815,755
02-10-2006,India,Maharashtra,Nagpur,814,754
02-11-2006,India,Maharashtra,Nagpur,804.5,745
2/13/2006,India,Maharashtra,Nagpur,798,739
2/14/2006,India,Maharashtra,Nagpur,788,730
2/15/2006,India,Maharashtra,Nagpur,797.5,738
2/16/2006,India,Maharashtra,Nagpur,789.5,731
2/17/2006,India,Maharashtra,Nagpur,796.5,738
2/18/2006,India,Maharashtra,Nagpur,805.5,746
2/20/2006,India,Maharashtra,Nagpur,806,746
2/21/2006,India,Maharashtra,Nagpur,805.5,746
2/22/2006,India,Maharashtra,Nagpur,807,747
2/23/2006,India,Maharashtra,Nagpur,807.5,748
2/24/2006,India,Maharashtra,Nagpur,805.5,746
2/25/2006,India,Maharashtra,Nagpur,814.5,754
2/27/2006,India,Maharashtra,Nagpur,813.5,753
2/28/2006,India,Maharashtra,Nagpur,813,753
03-01-2006,India,Maharashtra,Nagpur,819,758
03-02-2006,India,Maharashtra,Nagpur,818,757
03-03-2006,India,Maharashtra,Nagpur,824,763
03-04-2006,India,Maharashtra,Nagpur,824,763
03-06-2006,India,Maharashtra,Nagpur,825,764
03-07-2006,India,Maharashtra,Nagpur,814,754
03-08-2006,India,Maharashtra,Nagpur,807.5,748
03-09-2006,India,Maharashtra,Nagpur,802,743
03-10-2006,India,Maharashtra,Nagpur,802.5,743
03-11-2006,India,Maharashtra,Nagpur,795,736
3/13/2006,India,Maharashtra,Nagpur,798.5,739
3/14/2006,India,Maharashtra,Nagpur,799.5,740
3/15/2006,India,Maharashtra,Nagpur,808,748
3/16/2006,India,Maharashtra,Nagpur,807,747
3/17/2006,India,Maharashtra,Nagpur,808.5,749
3/18/2006,India,Maharashtra,Nagpur,809.5,750
3/20/2006,India,Maharashtra,Nagpur,811.5,751
3/21/2006,India,Maharashtra,Nagpur,808,748
3/22/2006,India,Maharashtra,Nagpur,808,748
3/23/2006,India,Maharashtra,Nagpur,806.5,747
3/24/2006,India,Maharashtra,Nagpur,806.5,747
3/25/2006,India,Maharashtra,Nagpur,817.5,757
3/27/2006,India,Maharashtra,Nagpur,820.5,760
3/28/2006,India,Maharashtra,Nagpur,826.5,765
3/29/2006,India,Maharashtra,Nagpur,822,761
3/30/2006,India,Maharashtra,Nagpur,838,776
3/31/2006,India,Maharashtra,Nagpur,848,785
04-01-2006,India,Maharashtra,Nagpur,842,780
04-03-2006,India,Maharashtra,Nagpur,847,784
04-04-2006,India,Maharashtra,Nagpur,852,789
04-05-2006,India,Maharashtra,Nagpur,852.5,789
04-06-2006,India,Maharashtra,Nagpur,866,802
04-07-2006,India,Maharashtra,Nagpur,874,809
04-08-2006,India,Maharashtra,Nagpur,869.5,805
04-10-2006,India,Maharashtra,Nagpur,878,813
04-12-2006,India,Maharashtra,Nagpur,886,820
4/13/2006,India,Maharashtra,Nagpur,889,823
4/15/2006,India,Maharashtra,Nagpur,899.5,833
4/17/2006,India,Maharashtra,Nagpur,903,836
4/18/2006,India,Maharashtra,Nagpur,922,854
4/19/2006,India,Maharashtra,Nagpur,931,862
4/20/2006,India,Maharashtra,Nagpur,958,887
4/21/2006,India,Maharashtra,Nagpur,922,854
4/22/2006,India,Maharashtra,Nagpur,945.5,876
4/24/2006,India,Maharashtra,Nagpur,942,872
4/25/2006,India,Maharashtra,Nagpur,932.5,863
